央视频道,#genre#
广东体育,http://223.109.210.41/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel34/index.m3u8
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8
汕头综合,http://219.128.40.237:8888/udp/239.77.1.130:5146
汕头综合,http://219.128.40.237:8888/udp/239.253.43.45:5146
汕头经济,http://219.128.40.237:8888/udp/239.77.1.131:5146
汕头经济,http://219.128.40.237:8888/udp/239.253.43.46:5146
汕头体育,http://219.128.40.237:8888/udp/239.77.1.132:5146
汕头体育,http://219.128.40.237:8888/udp/239.253.43.47:5146
汕头综合,https://stqznews.top/tv/live/stzhhd.php
汕头综合,http://211.97.63.3:801/hls/81/index.m3u8
汕头综合,https://sttv-tsl.cutv.com/lKGXIQa/s2sgKsX.m3u8
汕头体育,http://211.97.63.3:801/hls/80/index.m3u8
汕头综合,http://211.97.63.3:801/hls/81/index.m3u8
汕头经济,http://211.97.63.3:801/hls/82/index.m3u8
广东珠江超清,http://219.128.40.237:8888/udp/239.77.0.114:5146
广东新闻高清,http://219.128.40.237:8888/udp/239.77.0.173:5146


体育频道,#genre#
劲爆体育,http://dp.sxtv.top:88/live/bestv.php?id=jbty
五星体育,http://dp.sxtv.top:88/live/bestv.php?id=wxty
广东体育,http://iptv.eatuo.com:9901/tsfile/live/1004_1.m3u8
劲爆体育,https://live.goodiptv.club/api/yqgd.php?id=jbtyhd
五星体育,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000017540/index.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
纬来体育,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
纬来体育,http://ali.hlspull.yximgs.com/live/7qvlzZeiRYNkx1Dwn6mLv3PM8GERr19J.flv
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
beIN SPORTS 1,https://edge1.laotv.la/live/Bsport1/index.m3u8
beIN SPORTS 2,https://edge2.laotv.la/live/Bsport2/index.m3u8
beIN SPORTS 2,https://edge2.laotv.la/live/Bsport2/sc-gaFECQ/v0_index.m3u8
beIN SPORTS 2,https://edge2.laotv.la/live/Bsport2/sc-gaFECQ/a0_index.m3u8
beIN SPORTS-2,https://live.9528.eu.org/783281f456d82f5fbb.m3u8
Astro SuperSport,P2p://generationnexxxt.com:19806/8f8ad3ee6aa54ccbac64314553dfa1fa
Astro SuperSport 2,P2p://generationnexxxt.com:19806/650d4fca00064e791dd4dbcd16fd08c0
Astro SuperSport 3,P2p://generationnexxxt.com:19806/5b9b9986c20244908be60c3f18a3e435
Astro SuperSport 4,P2p://generationnexxxt.com:19806/c7f1be20958243f68c943016c446501e
beIN Sports 3,P2p://generationnexxxt.com:19806/65a52dc1000d76fbdd7dd8ab186b4afd
Astro SuperSport,P2p://generationnexxxt.com:19806/8f8ad3ee6aa54ccbac64314553dfa1fa
Astro SuperSport 2,P2p://generationnexxxt.com:19806/650d4fca00064e791dd4dbcd16fd08c0
Astro SuperSport 3,P2p://generationnexxxt.com:19806/5b9b9986c20244908be60c3f18a3e435
Astro SuperSport 4,P2p://generationnexxxt.com:19806/c7f1be20958243f68c943016c446501e
beIN Sports 3,P2p://generationnexxxt.com:19806/65a52dc1000d76fbdd7dd8ab186b4afd
beIN Sports 2,P2p://generationnexxxt.com:19806/65619d35000372e967236fc35ab64b39
Sky Sports F1,P2p://generationnexxxt.com:19806/65791ef90003eb94316400fd79094faa
Now SPORTS,http://119.23.61.191:8088/HK/nowbg/hls.m3u8
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来体育,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
纬来体育,http://cloud.yumixiu768.com/tmp/123.m3u8
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
beIN Sports 1,https://donelfantastic.github.io/creativemedia/intl/beinsport1EN.m3u8
TF1,http://pro-solut-xi.eu:5436/bossna/testiptvvv/10111
昵称违规-F16kfdVUAb,https://www.goodiptv.club/huya/24976467
五星体育,http://tv.twwhwn.cn:4022/udp/239.45.3.210:5140
五星体育,http://222.71.11.180:4022/udp/239.45.3.210:5140
五星体育,http://222.70.172.214:4022/udp/239.45.3.210:5140
五星体育,http://222.70.172.214:4022/udp/239.45.3.112:5140
五星体育「IPV6」,http://[2409:8087:5e08:24::15]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19594820240419041339000523
五星体育,http://180.158.49.188:4022/udp/239.45.3.210:5140
五星体育,http://58.37.91.53:4000/udp/239.45.3.210:5140
五星体育,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=wxty
五星体育,http://php.jdshipin.com:8880/bst.php?id=wxtyhd8m/8000000
五星体育,http://php.jdshipin.com:8880/bst.php?id=ssty/4000000
五星体育「组播」,http://58.37.189.39:8088/udp/239.45.3.210:5140
五星体育「组播」,http://222.71.11.180:4022/udp/239.45.3.210:5140
五星体育「组播」,http://116.233.174.144:10000/udp/239.45.3.210:5140
五星体育「组播」,http://101.83.128.184:4022/udp/239.45.3.210:5140
广东体育,http://219.128.40.237:8888/udp/239.77.0.112:5146
广东体育,http://219.128.40.237:8888/udp/239.77.0.168:5146
广东体育,http://222.218.158.127:8181/tsfile/live/1001_1.m3u8
广东体育,http://183.54.210.224:9999/udp/239.77.0.112:5146
广东体育,http://223.109.210.41/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel34/index.m3u8
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8
五星体育广播,https://fanmingming.com/fm?id=845
更新时间,#genre#
2024-04-25,url
06:30:04,url
